StationNumber,Name,LogTime,CribStopOrdering
87,ALBEA JUNDIAI,3/31/2021   7:11:26PM,
89,GOL PORTO ALEGRE,3/30/2021   8:00:34AM,
90,GOL BRASILIA,3/31/2021   7:09:47PM,
91,GOL SANTOS DUMONT,3/31/2021   7:13:27PM,
92,GOL GALEAO,3/31/2021   7:05:26PM,
93,GOL GUARULHOS,3/31/2021   7:07:49PM,
94,GOL CONFINS HANGAR 1,3/31/2021   7:06:27PM,
95,GOL CONFINS RODAS E FREIOS,3/31/2021   7:04:55PM,
96,GOL CONFINS HANGAR 3,3/31/2021   7:05:34PM,
97,GOL CONFINS HANGAR 2 PINTURA,3/31/2021   7:10:04PM,
98,GOL CONGONHAS DO,3/31/2021   7:09:16PM,
99,GOL CONGONHAS HANGAR,3/31/2021   7:03:31PM,
101,RENAULT CURITIBA CMO,3/31/2021   7:12:48PM,
102,RENAULT CURITIBA CARROCERIAS 01 SN38247799,3/31/2021   7:13:05PM,
103,RENAULT CURITIBA CARROCERIAS 02 SN38247849,3/31/2021   6:53:45PM,
104,RENAULT CURITIBA CVU CARROCERIA,3/31/2021   7:08:05PM,
105,RENAULT CURITIBA MONTAGEM CVP,3/27/2021  11:42:22AM,
106,RENAULT CURITIBA LOGISTICA DA CARROCERIA + ESTAMP,3/31/2021   6:59:48PM,
107,RENAULT CURITIBA MONTAGEM + PINTURA CVP,3/31/2021   7:13:30PM,
108,RENAULT CURITIBA MONTAGEM + LOGISTICA CVP,3/31/2021   9:28:33AM,
110,RENAULT CURITIBA CVU MONTAGEM,3/31/2021   6:58:48PM,
120,TRIAL VOLKSWAGEN CURITIBA (UNTIL MARCH 1st),3/27/2020   6:50:04AM,True
130,CHRIS CINTOS DISPENSARIO EPI,3/30/2021  11:23:37AM,
131,CHRIS CINTOS POU ALMOXARIFADO,3/31/2021   7:09:04PM,
135,BLOUNT CURITIBA,3/31/2021   6:53:24PM,
140,TRIAL CPFL SAO VICENTE,7/1/2020  10:43:04AM,True
145,PORTOBELLO SC PBG MAQUINA4 POLIMENTO,3/31/2021   6:59:31PM,
146,PORTOBELLO SC PBG MAQUINA1 ALMOXARIFADO,3/31/2021   7:02:33PM,
147,PORTOBELLO SC PBG MAQUINA2 PREDIO DE APOIO,3/31/2021   7:02:38PM,
148,PORTOBELLO SC PBG MAQUINA3 PB5,3/31/2021   7:09:57PM,
150,SZNACZ CAUSTIFICACAO CALDEIRA,3/31/2021   6:50:58PM,False
151,SZNACZ SECAGEM,3/31/2021   6:40:12PM,False
152,SZNACZ CAVACO,3/31/2021   6:46:03PM,False
153,SZNACZ DIGESTOR,3/31/2021   7:06:43PM,False
154,SZNACZ OFICINA CENTRAL,3/31/2021   7:10:25PM,False
165,BTP SANTOS POU,3/31/2021   7:11:24PM,
166,BTP SANTOS EXPRESS G1 MANUTENÇAO,3/31/2021   7:13:05PM,
167,BTP SANTOS EXPRESS G1 PORTARIA,3/31/2021   7:01:32PM,
170,TITAN SP POU ALMOXARIFADO,3/31/2021   7:12:38PM,
171,TITAN SP DISPENSARIO EPI EXPRESS G3,3/31/2021   7:09:29PM,
