StationNumber,Name,LogTime,CribStopOrdering
110,RENAULT CURITIBA CVU MONTAGEM,3/30/2021   6:06:45PM,
120,TRIAL VOLKSWAGEN CURITIBA (UNTIL MARCH 1st),3/27/2020   6:50:04AM,True
130,CHRIS CINTOS DISPENSARIO EPI,3/30/2021  11:23:37AM,
131,CHRIS CINTOS POU ALMOXARIFADO,3/30/2021   6:09:01PM,
135,BLOUNT CURITIBA,3/30/2021   5:50:28PM,
140,TRIAL CPFL SAO VICENTE,7/1/2020  10:43:04AM,True
145,PORTOBELLO SC PBG MAQUINA4 POLIMENTO,3/30/2021   6:01:40PM,
146,PORTOBELLO SC PBG MAQUINA1 ALMOXARIFADO,3/30/2021   6:04:29PM,
147,PORTOBELLO SC PBG MAQUINA2 PREDIO DE APOIO,3/30/2021   6:04:28PM,
148,PORTOBELLO SC PBG MAQUINA3 PB5,3/30/2021   6:04:24PM,
150,SZNACZ CAUSTIFICACAO CALDEIRA,3/30/2021   6:00:19PM,False
151,SZNACZ SECAGEM,3/30/2021   5:55:42PM,False
152,SZNACZ CAVACO,3/30/2021   5:50:23PM,False
153,SZNACZ DIGESTOR,3/30/2021   6:04:25PM,False
154,SZNACZ OFICINA CENTRAL,3/30/2021   5:59:00PM,False
165,BTP SANTOS POU,3/30/2021   6:09:33PM,
166,BTP SANTOS EXPRESS G1 MANUTENÇAO,3/30/2021   5:43:06PM,
167,BTP SANTOS EXPRESS G1 PORTARIA,3/30/2021   5:59:32PM,
170,TITAN SP POU ALMOXARIFADO,3/30/2021   6:11:37PM,
171,TITAN SP DISPENSARIO EPI EXPRESS G3,3/30/2021   6:06:42PM,
